t;Export_Amino_Acids;Export_Nitrates;Export_cytokinins;Unloading_Amino_Acids;Total_Transpiration;Unloading_Sucrose
307;0.08130243;0.09213298;0.01320724;1.11291348;0.00014853;33.63975119
308;0.09094865;0.10355911;0.01486596;1.07211536;0.00016705;32.11258091
309;0.14184208;0.16274449;0.02339972;1.12867002;0.00026277;30.10687827
310;0.22206464;0.25999940;0.03748607;1.28250795;0.00042092;32.85542896
311;0.25424557;0.31025305;0.04493891;1.53368636;0.00050505;38.13008747
312;0.21767646;0.27915005;0.04066085;1.80452477;0.00045760;44.37680149
313;0.24089439;0.32055166;0.04692454;2.13035335;0.00052867;52.41171142
314;0.22387222;0.31052576;0.04572099;2.42914798;0.00051588;60.08319395
315;0.16094955;0.23072227;0.03416124;2.58487699;0.00038599;64.11451790
316;0.07754562;0.11218718;0.01667680;2.53361302;0.00018854;62.54937149
317;0.06132658;0.08703716;0.01295858;2.38537326;0.00014642;58.85485414
318;0.05349863;0.07427226;0.01106982;2.21566486;0.00012497;54.76075876
319;0.05545767;0.07534544;0.01123880;2.04672692;0.00012675;51.14533450
320;0.05235253;0.06985551;0.01042851;1.85916246;0.00011750;46.83899379
321;0.04097400;0.05380238;0.00803775;1.70504093;0.00009048;43.31366303
322;0.03319893;0.04284827;0.00640381;1.58086585;0.00007201;40.45116376
323;0.02257937;0.02863491;0.00428034;1.47363096;0.00004807;37.95109924
324;0.01759934;0.02189977;0.00327323;1.37448598;0.00003671;35.60785132
325;0.01786968;0.02182184;0.00326079;1.28632560;0.00003652;33.49710769
326;0.01508653;0.01810672;0.00270499;1.20769864;0.00003026;31.58587897
327;0.01539045;0.01816238;0.00271245;1.13955955;0.00003030;29.90638732
328;0.01844084;0.02142343;0.00319849;1.07033122;0.00003568;28.15588347
329;0.01900539;0.02177623;0.00325039;1.02000764;0.00003622;26.87792617
330;0.01917649;0.02169054;0.00323686;0.96619361;0.00003602;25.48110128
331;0.01907301;0.02131377;0.00317993;0.91267282;0.00003535;24.06750166
332;0.01908318;0.02108322;0.00314482;0.86617908;0.00003492;22.81223675
333;0.03959479;0.04327491;0.00645355;0.86145753;0.00007159;21.92130555
334;0.11286605;0.12269203;0.01830100;0.91181237;0.00020285;22.82869964
335;0.25297945;0.27865537;0.04163941;1.08559983;0.00046157;27.23807428
336;0.29032615;0.33616218;0.05047883;1.36839837;0.00056047;34.99958307
337;0.23113844;0.28436826;0.04295995;1.70996369;0.00047805;44.77533235
338;0.37167324;0.47692405;0.07241026;2.18587670;0.00080717;58.59181673
339;0.25268456;0.35322320;0.05411045;2.59854121;0.00060541;70.86625435
340;0.19945809;0.29109829;0.04488010;2.88917476;0.00050334;79.28853251
341;0.07077051;0.10538333;0.01633086;2.90677580;0.00018347;79.75719594
342;0.07089825;0.10268346;0.01593229;2.73437579;0.00017895;74.95942290
343;0.07877836;0.11136225;0.01729952;2.55151887;0.00019425;69.88791368
344;0.07867027;0.10919841;0.01698670;2.33679655;0.00019070;63.98150764
345;0.08273550;0.11312494;0.01762079;2.15117009;0.00019776;58.86723447
346;0.08653447;0.11703355;0.01825526;1.98005689;0.00020484;54.17419430
347;0.08203302;0.11016369;0.01720938;1.80887472;0.00019307;49.43233413
348;0.06947935;0.09272421;0.01450459;1.67703387;0.00016268;45.82624810
349;0.06268451;0.08292914;0.01298502;1.53609511;0.00014558;41.91986893
350;0.06413830;0.08408519;0.01317619;1.43568794;0.00014764;39.10471198
351;0.05997606;0.07807359;0.01224404;1.32219740;0.00013713;35.95190839
352;0.05889127;0.07613751;0.01194862;1.22598182;0.00013376;33.24449681
353;0.04926010;0.06330479;0.00994119;1.12855873;0.00011123;30.48050243
354;0.04629177;0.05902470;0.00927274;1.05656956;0.00010369;28.42719133
355;0.04337267;0.05488314;0.00862501;0.99057831;0.00009639;26.56397464
356;0.03645927;0.04579168;0.00719825;0.93651638;0.00008040;25.04564538
357;0.14237431;0.17724214;0.02786453;1.02116546;0.00031102;24.97509533
