t,plant,axis,organ,AA_consumption_mstruct,C_exudation,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,N_exudation,Nstruct,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_min_upt,R_residual,Respi_growth,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Total_Organic_Nitrogen,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,age_from_flowering,amino_acids,cytokinins,delta_mstruct_growth,mstruct,nitrates,proteins,rate_mstruct_death,regul_transpiration,senesced_mstruct,starch,structure,sucrose,sucrose_consumption_mstruct,sum_respi
15,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.86149599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166.94504716,NA,NA
15,1,MS,roots,0.01607431,1.55909701,0.00449166,0.00629709,0.00079478,0.96071770,0.02911591,0.00017624,NA,0.06833384,0.06730582,NA,NA,NA,0.04917691,0.55509934,0.98023924,NA,0.86403179,NA,NA,14.50594580,0.27370207,7.79548507,0.16953607,NA,1.91767043,8.98887487,0.00004501,0.03520777,23.83787249,NA,0.00000000,0.00001476,0.00000000,NA,NA,102.68731401,1.61193133,0.18481657
16,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.77416094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165.64525400,NA,NA
16,1,MS,roots,0.01611279,2.20721185,0.00584656,0.00814358,0.00102565,0.96310240,0.04264834,0.00017646,NA,0.06857075,0.06640430,NA,NA,NA,0.04908573,0.55642838,0.98237893,NA,0.86431533,NA,NA,14.54680151,0.38470153,11.03605923,0.16726525,NA,1.94241334,9.01831411,0.00004512,0.03525289,23.96266176,NA,0.00000000,0.00001898,0.00000000,NA,NA,100.52718426,1.61579067,0.18406079
17,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.68278664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.25275481,NA,NA
17,1,MS,roots,0.01624740,2.78774187,0.00605021,0.00836315,0.00105125,0.96838163,0.05579504,0.00017669,NA,0.06900645,0.06571232,NA,NA,NA,0.04911490,0.56107688,0.98734674,NA,0.86687439,NA,NA,14.59067131,0.48224891,13.93870935,0.16552222,NA,1.97003574,9.04785520,0.00004549,0.03529838,24.08522178,NA,0.00000000,0.00001939,0.00000000,NA,NA,98.43080487,1.62928927,0.18383366
18,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.58757289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162.76811531,NA,NA
18,1,MS,roots,0.01644220,3.32104340,0.00757320,0.01037417,0.00130165,0.97574668,0.06887526,0.00017692,NA,0.06957837,0.06516001,NA,NA,NA,0.04922719,0.56780388,0.99423314,NA,0.87086746,NA,NA,14.63596918,0.57003093,16.60521700,0.16413100,NA,1.99889142,9.07732456,0.00004604,0.03534442,24.20404326,NA,0.00000000,0.00002393,0.00000000,NA,NA,96.38301610,1.64882354,0.18396557
19,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.48906703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161.19750904,NA,NA
19,1,MS,roots,0.01663038,3.80488790,0.00790220,0.01072093,0.00134292,0.98333883,0.08183405,0.00017715,NA,0.07015772,0.06461649,NA,NA,NA,0.04934149,0.57430261,1.00119268,NA,0.87465187,NA,NA,14.68355086,0.64781661,19.02443951,0.16276193,NA,2.02984271,9.10692449,0.00004657,0.03539098,24.32081494,NA,0.00000000,0.00002461,0.00000000,NA,NA,94.37787916,1.66769494,0.18411570
20,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.38719391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159.54135094,NA,NA
20,1,MS,roots,0.01685451,4.25487291,0.00969171,0.01301052,0.00162718,0.99249601,0.09490869,0.00017739,NA,0.07083406,0.06416322,NA,NA,NA,0.04951014,0.58204247,1.00949836,NA,0.87929966,NA,NA,14.73174965,0.71836628,21.27436453,0.16162020,NA,2.06118699,9.13644326,0.00004719,0.03543818,24.43376985,NA,0.00000000,0.00002972,0.00000000,NA,NA,92.40553721,1.69017044,0.18450743
21,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.31391319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158.14199802,NA,NA
21,1,MS,roots,0.01716084,4.72658736,0.00999647,0.01327725,0.00165822,1.00463231,0.10944562,0.00017763,NA,0.07171272,0.06388094,NA,NA,NA,0.04978457,0.59262114,1.02063674,NA,0.88605681,NA,NA,14.78229223,0.79411779,23.63293680,0.16090917,NA,2.09456873,9.16620942,0.00004805,0.03548623,24.54526255,NA,0.00000000,0.00003019,0.00000000,NA,NA,90.45736064,1.72088943,0.18537823
