Time (days),Sucrose input (mol of sucrose),Final deficit in sucrose of the whole root system (mol of sucrose),Cumulated amount of C present in the root-soil system (mol of C),Cumulated amount of C that has been respired by roots (mol of C),Cumulated amount of C that has been degraded in the soil (mol of C),Root structural mass (g),Root necromass (g),Root length (m),Root surface (m2),Sucrose in the root (mol of sucrose),Hexose in the mobile pool of the roots (mol of hexose),Hexose in the reserve pool of the roots (mol of hexose),Hexose in the soil (mol of hexose),Deficit of sucrose in the root (mol of sucrose),Deficit of hexose in the mobile pool of the roots (mol of hexose),Deficit of hexose in the soil (mol of hexose),CO2 originating from root growth (mol of C),CO2 originating from root maintenance (mol of C),Structural mass produced (g),Hexose unloaded from phloem (mol of hexose),Sucrose reloaded in the phloem (mol of hexose),Hexose mobilized from reserve (mol of hexose),Hexose stored as reserve (mol of hexose),Hexose emitted in the soil (mol of hexose),Hexose taken up from the soil (mol of hexose),Hexose degraded in the soil (mol of hexose),Concentration of hexose in the main root tip (mol of hexose per g)
3.1666666919999997,1.4364000596448e-06,0.0,0.0007137249547450867,9.726393945886518e-06,6.533449160393965e-07,0.0010493200248084932,0.0,0.06124380886432079,8.823677527591364e-05,2.788787375787832e-05,5.1536244881087226e-05,4.858540635021926e-06,3.7645406136077116e-07,0.0,0.0,0.0,1.3791164126375888e-07,6.6754829603706275e-09,1.1780442320923787e-05,7.648394527836056e-07,0.0,1.5374146400859534e-06,1.599344328224689e-06,1.2201812078269559e-08,1.056360886591228e-09,3.39355373924286e-09,0.001485332502891458
3.2083333589999996,1.4724000339551998e-06,0.0,0.0007312945430003296,9.80485851834365e-06,6.74092495801771e-07,0.0010571535656323063,0.0,0.06179486727905983,8.897329232896926e-05,2.895843211060297e-05,5.216440273569299e-05,4.961848004156655e-06,3.8430506224205487e-07,0.0,0.0,0.0,7.174766870407762e-08,6.71690375305404e-09,7.83354082381313e-06,8.036833624610664e-07,0.0,1.5517155878121869e-06,1.655022956946918e-06,1.2385743649637304e-08,1.0768128079578437e-09,3.457929960395759e-09,0.0015444457151598413
3.250000026,1.4904000231552003e-06,0.0,0.0007490795742487022,9.883491004575077e-06,6.952290390604331e-07,0.001064999602890971,0.0,0.062346804768247305,8.964037565370201e-05,3.0024207351875547e-05,5.2866397556416144e-05,5.036626864404311e-06,3.922446908022749e-07,0.0,0.0,0.0,7.18621239788843e-08,6.770362252542511e-09,7.846037258664506e-06,8.492495637652807e-07,0.0,1.5904664029924894e-06,1.6652452632401452e-06,1.2559895600484618e-08,1.097509830487739e-09,3.522757209777007e-09,0.0016053731380685288
3.291666693,1.4976000165312001e-06,0.0,0.0007669503824423446,9.962362307708363e-06,7.167497406588519e-07,0.0010728656822380556,0.0,0.06290015213857555,9.03799520100548e-05,3.1074937889740414e-05,5.352552309467931e-05,5.198375585496193e-06,4.003469278891396e-07,0.0,0.0,0.0,7.204569015316628e-08,6.825612980118753e-09,7.866079347084688e-06,8.937389573326762e-07,0.0,1.6077465545692614e-06,1.7694952756611444e-06,1.2807215323600058e-08,1.118194636998828e-09,3.586783599736474e-09,0.0016680695870484987
3.3333333599999997,1.5012000143135997e-06,0.0,0.0007849745467527238,1.0014395611905173e-05,7.386299746893533e-07,0.0010800861321259697,0.0,0.06324741031737416,9.084407988408306e-05,3.210879997636539e-05,5.447484363316494e-05,5.133121878808688e-06,4.084950760217136e-07,0.0,0.0,0.0,4.521292861306319e-08,6.820375583747169e-09,4.936429691052111e-06,9.346758553772684e-07,0.0,1.6728808890838255e-06,1.607627182396321e-06,1.293304366915382e-08,1.1381898648294938e-09,3.6467056717502323e-09,0.001732467432338933
3.375000027,1.5012000120095998e-06,0.0,0.0008028040663832619,1.0093382732012729e-05,7.608456913159512e-07,0.0010856711014865922,0.0,0.06380096240941964,9.158392986122058e-05,3.3127325598646985e-05,5.5311591155988256e-05,5.188239829853884e-06,4.170630122402557e-07,0.0,0.0,0.0,7.207234486989388e-08,6.914775237661772e-09,5.584969360622492e-06,9.653487794560156e-07,0.0,1.6480957550376852e-06,1.7032137060828824e-06,1.3428132811949397e-08,1.157577155641044e-09,3.702619437766302e-09,0.001798540442875953
3.416666694,1.4976000096191997e-06,0.0,0.0008206731454166054,1.0172858071207364e-05,7.83491434207985e-07,0.0010935874840695989,0.0,0.06435784841215779,9.224186280966594e-05,3.4122063345071026e-05,5.611456529612123e-05,5.316872262771375e-06,4.258231724230532e-07,0.0,0.0,0.0,7.250641921386224e-08,6.968919980771948e-09,7.916382583006747e-06,1.0057245263902973e-06,0.0,1.6588766982868266e-06,1.7875091312043192e-06,1.3715109509783772e-08,1.1806588449806823e-09,3.774290482005634e-09,0.001866336291126171
3.4583333609999998,1.4940000095616e-06,0.0,0.000838501954199094,1.0248983464359543e-05,8.065573733065291e-07,0.0011011341520939012,0.0,0.06488872646737796,9.295140780581272e-05,3.50917873871567e-05,5.714893980065024e-05,5.2596005860623635e-06,4.346602635745024e-07,0.0,0.0,0.0,6.912019090796331e-08,7.005202244215813e-09,7.5466680243021605e-06,1.0485519349518714e-06,0.0,1.710274561282914e-06,1.6530028845739031e-06,1.3885132754182808e-08,1.2037184196427794e-09,3.844323183090698e-09,0.0019356190007939502
3.5000000279999997,1.4904000095040002e-06,0.0,0.0008562838832367597,1.032844326875752e-05,8.299686452909218e-07,0.001109037636419916,0.0,0.06544470512907956,9.369450101431076e-05,3.604470006628892e-05,5.800804600642072e-05,5.400833522472782e-06,4.4389174698257656e-07,0.0,0.0,0.0,7.238828363630713e-08,7.071520761669849e-09,7.90348432601474e-06,1.0749746607436033e-06,0.0,1.6837987689223876e-06,1.8250317053328077e-06,1.4357678172044838e-08,1.224316099905256e-09,3.90187866406544e-09,0.002006332264458747
3.541666695,6.695994472128003e-07,0.0,0.0008642185428632442,1.0405144671398606e-05,8.538009827189648e-07,0.001116636163642261,0.0,0.06597923127245117,9.440892186220523e-05,3.615671103854853e-05,5.908853666494131e-05,5.363051413531528e-06,4.532077432454161e-07,0.0,0.0,0.0,6.959517107901665e-08,7.1062315620694794e-09,7.598527222345158e-06,1.1151769499063376e-06,0.0,1.736160695692738e-06,1.698378586751485e-06,1.4536032879581314e-08,1.2479803787345072e-09,3.9720562380071695e-09,0.0020783892506360153
3.583333362,3.394797755932801e-07,0.0,0.0008681885565774275,1.0484698271689017e-05,8.779909753650774e-07,0.0011245386457979256,0.0,0.06653513943545789,9.512011601195335e-05,3.596275706927362e-05,5.995899579862919e-05,5.4842294226725875e-06,4.628947548477001e-07,0.0,0.0,0.0,7.2379104723746e-08,7.174495566665311e-09,7.902482155664617e-06,1.066867489736467e-06,0.0,1.7209979468318375e-06,1.8421759559728983e-06,1.4988253612449885e-08,1.2695765691472489e-09,4.0316654410187725e-09,0.0021499795399973474
3.6250000289999997,1.9619990184672e-07,0.0,0.0008704406210520971,1.0562432813631099e-05,9.025907809137904e-07,0.0011322379724093862,0.0,0.06707675641461142,9.584401411549644e-05,3.56541561492252e-05,6.095987095204408e-05,5.419081523452546e-06,4.727011557704199e-07,0.0,0.0,0.0,7.051839613630362e-08,7.216145805779023e-09,7.699326611460552e-06,1.0096016437902527e-06,0.0,1.763526485971525e-06,1.6983785867514848e-06,1.519966322483681e-08,1.2932947106649274e-09,4.0999675914521686e-09,0.002220434676993472
3.6666666959999996,1.2707995235616e-07,0.0,0.0008718606814001054,1.0642383542759217e-05,9.275391320514186e-07,0.001140172515042467,0.0,0.06763491990458434,9.659002745593836e-05,3.5314951452028134e-05,6.167759251171517e-05,5.557817881606072e-06,4.828808585183299e-07,0.0,0.0,0.0,7.26727477344732e-08,7.2779813936450226e-09,7.93454263308091e-06,9.325692991064862e-07,0.0,1.737395925987746e-06,1.8761322841412732e-06,1.565265400751561e-08,1.3148927366672575e-09,4.158058522938023e-09,0.0022895419408031715
3.708333363,9.071997483744e-08,0.0,0.0008728467436540235,1.0719601825805508e-05,9.528982931364501e-07,0.0011478045578335047,0.0,0.06817180373480129,9.730759946988151e-05,3.4968624665039e-05,6.252060646892092e-05,5.515016950019165e-06,4.930636883170555e-07,0.0,0.0,0.0,6.990214132058037e-08,7.3161417257104274e-09,7.632042791037756e-06,8.740935236531657e-07,0.0,1.7865552205159722e-06,1.7437542889290672e-06,1.5748254442011416e-08,1.338897795780728e-09,4.226526847505245e-09,0.0023572412661716758
3.75000003,7.091998631136003e-08,0.0,0.0008735923522189332,1.079933325317121e-05,9.785981365976275e-07,0.0011557041777271854,0.0,0.06872751054907097,9.805032934072952e-05,3.463725392699881e-05,6.31240418575496e-05,5.639902544457463e-06,5.035170160366167e-07,0.0,0.0,0.0,7.235288916820265e-08,7.3785381974984945e-09,7.899619893680676e-06,8.045814487031429e-07,0.0,1.770615009877727e-06,1.895500604316025e-06,1.609693987283017e-08,1.3603049097396462e-09,4.28330724352958e-09,0.002423558105163266
3.7916666969999997,5.975999235359999e-08,0.0,0.0008742060261058849,1.0876724889028286e-05,1.0046525220322406e-06,0.0011633455601157928,0.0,0.06926505138279973,9.876877947263151e-05,3.431919971401326e-05,6.387273629857464e-05,5.5725010730926175e-06,5.13952998163055e-07,0.0,0.0,0.0,6.998768301460206e-08,7.4039528424749745e-09,7.64138238860741e-06,7.556284106783095e-07,0.0,1.811155760293911e-06,1.7437542889290663e-06,1.616061915942867e-08,1.3822394605547605e-09,4.3423975724355175e-09,0.00248852679251195
3.8333333639999996,5.327999565695999e-08,0.0,0.0008747390612598739,1.0956695116004793e-05,1.0310070889505601e-06,0.0011712602340620253,0.0,0.0698218171897422,9.95129247399996e-05,3.402506177947423e-05,6.435256508846769e-05,5.710700509947891e-06,5.247126529901912e-07,0.0,0.0,0.0,7.249076975112583e-08,7.479457225381048e-09,7.914673946232472e-06,6.948358603920297e-07,0.0,1.7866786234264235e-06,1.9248780602816995e-06,1.655422653534333e-08,1.4021438884869717e-09,4.39242781971991e-09,0.002552210341424682
3.875000031,4.931999744831999e-08,0.0,0.0008752362761712172,1.1024591486812381e-05,1.0577357761793019e-06,0.0011778535679681033,0.0,0.07028563198458997,0.00010004096654572818,3.3749888542742135e-05,6.497979434822266e-05,5.665751272558593e-06,5.35389208600993e-07,0.0,0.0,0.0,6.038857106745394e-08,7.507799740132946e-09,6.593333906077923e-06,6.48986468360839e-07,0.0,1.8340792284959456e-06,1.789129991106649e-06,1.6555908973537857e-08,1.4245721579458927e-09,4.4547812047902895e-09,0.002614659735234446
