Time (days),Sucrose input (mol of sucrose),Final deficit in sucrose of the whole root system (mol of sucrose),Cumulated amount of C present in the root-soil system (mol of C),Cumulated amount of C that has been respired by roots (mol of C),Cumulated amount of C that has been degraded in the soil (mol of C),Root structural mass (g),Root necromass (g),Root length (m),Root surface (m2),Total root hairs mass (g),Total living root hairs surface (m2),Sucrose in the root (mol of sucrose),Hexose in the mobile pool of the roots (mol of hexose),Hexose in the reserve pool of the roots (mol of hexose),Hexose in the soil (mol of hexose),Mucilage in the soil (mol of hexose),Cells in the soil (mol of equivalent-hexose),Deficit of sucrose in the root (mol of sucrose),Deficit of hexose in the mobile pool of the roots (mol of hexose),Deficit of hexose in the soil (mol of hexose),Deficit of mucilage in the soil (mol of hexose),Deficit of cells in the soil (mol of hexose),CO2 originating from root growth (mol of C),CO2 originating from root maintenance (mol of C),Structural mass produced (g),Hexose unloaded from phloem (mol of hexose),Sucrose reloaded in the phloem (mol of hexose),Hexose mobilized from reserve (mol of hexose),Hexose stored as reserve (mol of hexose),Hexose emitted in the soil (mol of hexose),Hexose taken up from the soil (mol of hexose),Mucilage secreted in the soil (mol of hexose),Cells release in the soil (mol of equivalent-hexose),Total rhizodeposition (mol of hexose),Hexose degraded in the soil (mol of hexose),Mucilage degraded in the soil (mol of hexose),Cells degraded in the soil (mol of equivalent-hexose),Concentration of hexose in the main root tip (mol of hexose per g),Soil temperature (degree Celsius)
0.41666666999999996,1.8000000143999998e-06,0.0,0.00021663166557783097,8.355425996783679e-07,1.1989449477471149e-08,0.00012864823927147392,0.0,0.0033428576653263624,7.351327958369939e-06,0.0,0.0,1.2554001486194382e-05,8.775916829148337e-06,6.432411963573697e-07,7.908756202994617e-07,1.0237949604556334e-09,6.880966910210611e-10,0.0,0.0,0.0,0.0,0.0,1.0249377701605242e-07,1.7265051742444261e-09,1.119045679036002e-05,1.0482050307725586e-06,0.0,1.4856916897239733e-07,2.0452145292419755e-07,1.3894520880763998e-07,4.016177432618303e-11,1.3080680747401932e-10,9.968140255646545e-11,1.3913553524334427e-07,4.045099992580995e-10,3.5580323558222534e-12,1.1819785198245714e-12,0.0237559081279358,10
0.45833333699999995,1.8000000143999998e-06,0.0,0.00023812459743343095,9.39915208254443e-07,1.4685158101417554e-08,0.00013983871327339072,0.0,0.003633636318868632,7.990783615622328e-06,0.0,0.0,1.3816207448926595e-05,9.56174838847291e-06,6.991935663669537e-07,9.382750334063425e-07,1.1516258387207943e-09,7.910174024307524e-10,0.0,0.0,0.0,0.0,0.0,1.0249393465729028e-07,1.8786739187848193e-09,1.1190474001916784e-05,1.0755881033355752e-06,0.0,1.6149246611417676e-07,2.174448361237607e-07,1.4788773725871621e-07,4.442687792387714e-11,1.3184932349610904e-10,1.0428976292496842e-10,1.480794494672134e-07,4.4389727391150895e-10,4.018445230948336e-12,1.3690515152770967e-12,0.026931247981320208,10
0.500000004,1.8000000143999998e-06,0.0,0.00025961713919894243,1.0444405580134611e-06,1.761821563091625e-08,0.00015102926730105375,0.0,0.003924417051838344,8.630243845774499e-06,0.0,0.0,1.5062162372690989e-05,1.0371048566398263e-05,7.551463365052686e-07,1.0946378299096515e-06,1.2798566041971768e-09,8.977103825416409e-10,0.0,0.0,0.0,0.0,0.0,1.0249466761584097e-07,2.030682143177165e-09,1.1190554027663014e-05,1.10809018127121e-06,0.0,1.744158556735336e-07,2.303686258118486e-07,1.5689421690120903e-07,4.861884151491854e-11,1.3270906271079587e-10,1.0825604807429758e-10,1.5708656317047924e-07,4.828015563852938e-10,4.47829723441329e-12,1.5630679634090404e-12,0.030020829724022726,10
0.541666671,1.8000000143999998e-06,0.0,0.00028110929256991543,1.1491191297585699e-06,2.078644571279447e-08,0.00016221996595115713,0.0,0.004215201542747038,9.269712340066122e-06,0.0,0.0,1.629020853243481e-05,1.12070083434267e-05,8.110998297557858e-07,1.2600888293314718e-06,1.408349274202756e-09,1.0075288744688435e-09,0.0,0.0,0.0,0.0,0.0,1.0249599221772573e-07,2.182579527383003e-09,1.1190698650103393e-05,1.1439077093123553e-06,0.0,1.873394122498345e-07,2.4329290550035153e-07,1.6602508837396196e-07,5.275097756107803e-11,1.3343014420809954e-10,1.115813901237481e-10,1.662173489307327e-07,5.213379745806376e-10,4.937474202520278e-12,1.7628981965454079e-12,0.03301923088243972,10
0.583333338,1.8000000143999998e-06,0.0,0.0003026010587250111,1.2539513865208988e-06,2.4188206654907532e-08,0.00017341086848720287,0.0,0.004505991331526028,9.909192484983022e-06,0.0,0.0,1.7499342447348727e-05,1.2071383546630405e-05,8.670543424360144e-07,1.4348786254323462e-06,1.5378275526697115e-09,1.119828221930386e-09,0.0,0.0,0.0,0.0,0.0,1.0249785961605474e-07,2.3343971462741226e-09,1.1190902536045743e-05,1.18173219897218e-06,0.0,2.0026320428341955e-07,2.562177169636484e-07,1.7540622874618704e-07,5.683581287712688e-11,1.348741702076152e-10,1.1426678030441492e-10,1.7559853388382195e-07,5.595968324353117e-10,5.395891740659777e-12,1.9674328428724462e-12,0.03527947768992619,10
0.625000005,1.8000000143999998e-06,0.0,0.000324282804868935,1.358937709816815e-06,2.7824336590458885e-08,0.00018460202536058054,0.0,0.004796787729128459,1.0548687163461744e-05,0.0,0.0,1.8704754718959995e-05,1.2992826012322024e-05,8.923443392676423e-07,1.6223438891621528e-06,1.6923321101786249e-09,1.233952109230167e-09,0.0,0.0,0.0,0.0,0.0,1.0250018910038879e-07,2.486134195527289e-09,1.1191156873377649e-05,1.2209035563033655e-06,0.0,2.1318729003797774e-07,2.3847728686960585e-07,1.881240153313162e-07,6.092048516778115e-11,1.6051280855294937e-10,1.163061758388496e-10,1.883399138305402e-07,5.978311163421209e-10,6.008251044035944e-12,2.1822885390689386e-12,0.004204258952906375,10
0.666666672,1.8000000143999998e-06,0.0,0.00034577382968999565,1.4640632624226133e-06,3.1674135724032404e-08,0.00019579354825384357,0.0,0.005087593637567467,1.1188202757362488e-05,0.0,0.0,1.9865565693131715e-05,1.4015554226538908e-05,8.776162464823788e-07,1.8059444515882518e-06,1.8559117105728023e-09,1.3495161584135606e-09,0.0,0.0,0.0,0.0,0.0,1.0250354148905519e-07,2.622011116743288e-09,1.1191522893263034e-05,1.2783780804565628e-06,0.0,2.1472501975897498e-07,1.999969269737115e-07,1.8429814867999496e-07,6.444873432612204e-11,1.697913240981254e-10,1.178479948385966e-10,1.8452133926460555e-07,6.331375195697696e-10,6.21172370394792e-12,2.283945655202903e-12,0.010823000022870285,10
0.708333339,1.8000000143999998e-06,0.0,0.00036726449355836146,1.5693545519002598e-06,3.5719150680661156e-08,0.00020698562506165684,0.0,0.005378413939188307,1.1827750003523247e-05,0.0,0.0,2.101147381689522e-05,1.4938343247777523e-05,9.790616325619738e-07,2.003047813800601e-06,2.023976846157718e-09,1.4656688186234715e-09,0.0,0.0,0.0,0.0,0.0,1.025086148113924e-07,2.782674666254093e-09,1.119207680781327e-05,1.3081837812729963e-06,0.0,2.0576547969240897e-07,3.0721086577200396e-07,1.9783559020470806e-07,6.73582997305117e-11,1.7486854620861962e-10,1.1864871639626434e-10,1.9806174916758243e-07,6.648696926280676e-10,6.803410623704091e-12,2.4960561863534206e-12,0.011792253144601705,10
0.7500000059999999,1.8000000143999998e-06,0.0,0.00038875459716396736,1.6749790737398683e-06,3.998367311458359e-08,0.00021817796630382857,0.0,0.005669241111998579,1.2467312360218775e-05,4.106830647650376e-09,1.3689435492167917e-08,2.2137754589280616e-05,1.588913333977807e-05,1.0836944241718198e-06,2.2081210673039336e-06,2.193175035697187e-09,1.5820318290624022e-09,0.0,0.0,0.0,0.0,0.0,1.0269158686703018e-07,2.932934972578383e-09,1.1196448072819388e-05,1.3474384840292e-06,0.0,2.390990483116574e-07,3.4373183992150363e-07,2.0584484565089606e-07,7.096196390722379e-11,1.7661202536641356e-10,1.1907272994253317e-10,2.060695684422978e-07,7.006301836565255e-10,7.413835826944355e-12,2.7097195036025598e-12,0.014040316730767853,10
0.7916666729999999,1.8000000143999998e-06,0.0,0.000410242742540862,1.782269073804252e-06,4.447775230738694e-08,0.00022936992676050963,0.0,0.005960058390295692,1.3106852957743406e-05,4.271169131696995e-08,1.423723043898998e-07,2.3244771987805248e-05,1.6909994547486826e-05,1.147063192259133e-06,2.4225891252973295e-06,2.3627717747306235e-09,1.698800968820064e-09,0.0,0.0,0.0,0.0,0.0,1.0420474870460395e-07,3.0852513597798018e-09,1.123056531735038e-05,1.3859652317507513e-06,0.0,2.63534278724517e-07,3.2690304681183013e-07,2.1528083443500374e-07,7.479337648738586e-11,1.7770303531757505e-10,1.1969297715357118e-10,2.1550343707098747e-07,7.379830651205107e-10,8.106296284138717e-12,2.923837395909522e-12,0.01747889463303192,10
